date,open,high,low,close,volume,change_pct
2025-11-24,6.06,6.13,6.04,6.04,100697804.0,
2025-11-25,6.05,6.1,6.01,6.04,96065840.0,0.0
2025-11-26,6.03,6.06,5.88,5.89,200521722.0,-2.4834437086092787
2025-11-27,5.6,5.65,5.37,5.47,396143324.0,-7.130730050933787
2025-11-28,5.41,5.48,5.27,5.38,295363576.0,-1.645338208409508
2025-12-01,5.3,5.34,5.17,5.2,321211625.0,-3.3457249070631967
2025-12-02,5.24,5.26,5.18,5.2,168690929.0,0.0
2025-12-03,5.22,5.23,5.0,5.01,279233610.0,-3.653846153846163
2025-12-04,4.96,5.07,4.91,4.97,262000893.0,-0.7984031936127733
2025-12-05,4.94,4.97,4.81,4.95,318099640.0,-0.4024144869215207
2025-12-08,4.9,4.98,4.9,4.91,195411774.0,-0.8080808080808133
2025-12-09,4.89,4.93,4.76,4.77,235661274.0,-2.8513238289205822
2025-12-10,4.76,5.25,4.7,5.25,636212070.0,10.062893081761025
2025-12-11,5.18,5.25,5.04,5.07,546172361.0,-3.4285714285714253
2025-12-12,5.13,5.21,5.01,5.02,335657669.0,-0.9861932938856177
2025-12-15,4.9,4.94,4.8,4.87,256403480.0,-2.9880478087649265
2025-12-16,4.88,5.05,4.87,4.97,276572263.0,2.053388090349073
2025-12-17,4.92,4.97,4.84,4.96,198857248.0,-0.2012072434607548
2025-12-18,4.9,4.95,4.83,4.87,176163765.0,-1.814516129032251
2025-12-19,4.85,4.94,4.84,4.9,166584284.0,0.6160164271047375
2025-12-22,4.88,4.97,4.85,4.93,155419637.0,0.6122448979591688
2025-12-23,4.88,4.9,4.77,4.79,207243276.0,-2.8397565922920864
2025-12-24,4.76,4.8,4.76,4.76,115424332.0,-0.6263048016701522
2025-12-25,4.79,4.8,4.75,4.79,108626646.0,0.6302521008403339
2025-12-26,4.77,4.81,4.76,4.77,124179305.0,-0.41753653444677186
2025-12-29,4.75,4.79,4.72,4.74,120545509.0,-0.6289308176100517
2025-12-30,4.72,4.73,4.62,4.62,151736556.0,-2.5316455696202556
2025-12-31,4.66,4.68,4.62,4.65,107556125.0,0.6493506493506551
2026-01-05,4.64,4.78,4.63,4.75,193853519.0,2.1505376344086002
2026-01-06,4.73,4.86,4.72,4.83,225237598.0,1.6842105263157992
2026-01-07,4.81,4.86,4.73,4.73,158244388.0,-2.0703933747411973
2026-01-08,4.73,5.0,4.69,4.9,311990059.0,3.594080338266381
2026-01-09,4.87,5.04,4.81,4.96,262671069.0,1.2244897959183598
2026-01-12,4.89,4.93,4.85,4.88,199073011.0,-1.6129032258064502
2026-01-13,4.87,4.97,4.82,4.83,195098147.0,-1.0245901639344246
2026-01-14,4.82,4.85,4.69,4.69,279838376.0,-2.898550724637672
2026-01-15,4.71,4.96,4.71,4.85,319556228.0,3.4115138592750283
2026-01-16,4.85,4.86,4.72,4.73,209304601.0,-2.4742268041236914
2026-01-19,4.7,4.77,4.68,4.73,116845018.0,0.0
2026-01-20,4.71,4.85,4.7,4.79,210200563.0,1.2684989429175397
2026-01-21,4.86,5.11,4.81,5.01,511785961.0,4.5929018789143905
2026-01-22,5.01,5.02,4.92,4.95,291810250.0,-1.197604790419149
2026-01-23,4.97,4.98,4.89,4.95,260217954.0,0.0
2026-01-26,4.92,4.97,4.81,4.82,270982151.0,-2.626262626262621
2026-01-27,4.81,4.83,4.72,4.75,174565432.0,-1.4522821576763545
2026-01-28,4.88,4.93,4.81,4.86,279920784.0,2.3157894736842266
2026-01-29,4.82,5.18,4.77,5.13,605243432.0,5.555555555555536
2026-01-30,5.06,5.07,4.88,4.88,374052474.0,-4.873294346978563
2026-02-02,4.7,4.8,4.66,4.68,301015723.0,-4.098360655737709
2026-02-03,4.72,4.77,4.67,4.7,164033980.0,0.42735042735044804
2026-02-04,4.68,4.92,4.67,4.9,353254811.0,4.255319148936176
2026-02-05,4.86,4.92,4.84,4.88,214093420.0,-0.40816326530612734
2026-02-06,4.82,4.86,4.78,4.81,162512589.0,-1.434426229508201
2026-02-09,4.83,5.07,4.83,4.96,281848512.0,3.1185031185031242
2026-02-10,4.97,4.98,4.87,4.88,161955486.0,-1.6129032258064502
2026-02-11,4.88,4.91,4.83,4.89,135996585.0,0.2049180327868827
2026-02-12,4.93,5.06,4.92,4.92,294856547.0,0.6134969325153339
2026-02-13,4.95,4.99,4.88,4.97,224573180.0,1.0162601626016121
2026-02-24,4.94,4.96,4.9,4.92,155701885.0,-1.0060362173038184
2026-02-25,4.92,5.07,4.91,5.0,246730946.0,1.6260162601626105
2026-02-26,4.99,5.0,4.81,4.82,278738664.0,-3.599999999999992
2026-02-27,4.83,4.84,4.79,4.84,113276755.0,0.4149377593360981
